suburb,temp,pressure,humidity,forecast_22Nov,condition_22Nov,forecast_23Nov,condition_23Nov,forecast_23Nov.1,condition_23Nov.1,forecast_24Nov,condition_24Nov,forecast_25Nov,condition_25Nov,suburb_id
Dangar Island,24.27,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10181
Darling Point,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10182
Darlinghurst,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10183
Darlington,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10184
Davidson,24.29,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10185
Dawes Point,23.97,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10186
Dean Park,24.12,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10187
Dee Why,24.29,1012,51,22.92,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10188
Denham Court,24.12,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10189
Denistone,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10190
Denistone East,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10191
Denistone West,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10192
Dharruk,24.12,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10193
Dolans Bay,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10194
Dolls Point,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10195
Doonside,24.12,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10196
Double Bay,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10197
Dover Heights,24.29,1012,51,22.92,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10198
Drummoyne,23.97,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10199
Duffys Forest,24.27,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10200
Dulwich Hill,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10201
Dundas,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10202
Dundas Valley,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10203
Dural,24.13,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10204
Eagle Vale,24.2,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10205
Earlwood,24.15,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10206
East Hills,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10208
East Killara,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10209
East Kurrajong,24.12,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10210
East Lindfield,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10211
East Ryde,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10212
