"State/Territory",Postcode2,"Individuals 2003–04 no.","Median3 taxable income 2003–04 $","Average3 taxable income 2003–04 $","Individuals 2013–14 no.","Median3 taxable income 2013–14 $","Average3 taxable income 2013–14 $","Individuals 2014–15 no.","Median3 taxable income 2014–15 $","Average3 taxable income 2014–15 $","Individuals 2015–16 no.","Median3 taxable income 2015–16 $","Average3 taxable income 2015–16 $","Individuals 2016–17no.","Median3 taxable income 2016–17$","Average3 taxable income 2016–17$"
QLD,4155,797,"33,525","50,131",968,"49,399","97,061",980,"51,300","95,514","1,013","53,649","94,505",993,"52,392","98,073",
QLD,4156,"1,920","31,852","45,368","1,950","49,493","70,617","2,019","50,045","72,748","2,108","51,360","75,244","2,162","52,934","80,562",
QLD,4157,"12,160","28,785","32,509","11,307","43,980","52,343","11,515","44,874","52,980","11,762","46,242","54,151","11,950","46,642","54,222",
QLD,4158,"2,201","28,978","31,915","2,146","46,523","53,407","2,133","46,005","53,880","2,220","47,218","54,086","2,197","48,799","55,506",
QLD,4159,"8,682","29,137","34,035","8,374","44,985","55,851","8,517","45,603","56,304","8,638","46,508","57,510","8,678","46,805","57,400",
QLD,4160,"9,644","30,295","37,107","11,023","45,559","61,922","11,148","46,809","61,813","11,453","46,968","62,069","11,588","47,701","63,674",
QLD,4161,"10,291","28,868","31,095","9,557","43,838","49,879","9,539","44,238","50,830","9,668","45,554","51,790","9,696","46,238","52,031",
QLD,4163,"9,002","28,439","38,860","9,219","42,515","63,340","9,219","43,762","62,898","9,217","44,676","65,689","9,385","44,681","66,440",
QLD,4164,"5,552","29,176","34,873","7,942","45,543","58,191","8,289","46,612","59,885","8,823","47,525","59,427","9,408","48,253","60,181",
QLD,4165,"15,145","27,653","31,991","20,264","44,847","55,125","20,854","45,502","55,695","21,622","46,647","56,346","22,324","47,186","56,616",
QLD,4169,"7,781","31,257","42,938","8,998","48,348","74,724","9,318","48,925","72,297","9,670","48,411","70,886","10,123","49,331","71,505",
QLD,4170,"12,497","32,547","37,638","15,172","52,667","69,380","15,565","52,988","69,924","16,111","54,175","71,553","16,690","54,639","70,673",
QLD,4171,"8,424","35,144","45,978","10,061","60,562","95,607","10,335","60,730","97,531","10,434","61,778","99,886","10,733","62,795","100,047",
QLD,4172,"2,033","32,056","34,216","2,771","50,562","63,329","2,711","51,203","61,978","2,735","51,923","62,964","2,933","52,542","64,868",
QLD,4173,"4,996","30,939","32,638","4,999","47,513","54,443","5,028","48,387","54,530","5,124","49,408","55,990","5,151","49,827","56,435",
QLD,4174,"1,560","31,454","33,140","1,565","47,381","53,076","1,590","47,546","54,109","1,528","47,667","54,488","1,525","49,889","55,648",
QLD,4178,"13,165","28,990","32,222","14,014","45,647","56,316","14,320","46,474","57,089","14,639","47,221","57,372","14,984","48,328","58,202",
QLD,4179,"10,294","29,406","35,384","11,181","47,511","61,665","11,235","49,053","63,595","11,354","50,240","67,191","11,667","50,952","65,077",
QLD,4183,"1,217","22,896","31,129","1,179","35,703","45,725","1,213","36,246","47,364","1,209","34,899","46,157","1,202","36,476","49,090",
QLD,4184,"1,895","19,116","24,879","2,339","29,129","38,184","2,470","30,532","39,151","2,520","30,400","38,529","2,626","29,398","37,812",
QLD,4205,"2,190","27,052","28,777","2,196","40,596","44,498","2,251","41,228","44,596","2,322","42,454","45,551","2,470","41,842","45,321",
QLD,4207,"23,321","26,556","29,225","26,150","40,680","47,066","27,352","41,765","47,904","28,625","42,793","48,797","30,643","43,310","48,997",
QLD,4208,"5,112","29,359","33,287","10,057","45,230","52,908","10,670","45,953","53,397","11,197","47,204","54,169","12,091","47,999","55,063",
QLD,4209,"6,857","26,415","31,180","21,592","42,594","51,427","23,672","43,040","51,585","27,124","43,578","50,855","31,230","43,577","51,052",
QLD,4210,"8,662","27,933","30,950","10,384","41,714","51,169","11,104","43,391","52,245","11,666","45,118","54,142","12,225","45,413","55,093",
QLD,4211,"29,134","25,732","29,647","33,788","39,742","48,173","34,522","40,425","48,982","35,363","41,543","50,079","36,167","42,128","50,236",
QLD,4212,"10,773","26,504","37,800","16,042","41,080","59,349","16,435","42,225","63,951","17,102","43,591","60,910","17,824","44,274","62,385",
QLD,4213,"14,900","25,099","30,615","16,591","39,492","51,278","16,953","40,000","53,918","17,245","41,466","53,627","17,775","41,809","54,120",
QLD,4214,"20,456","26,463","30,952","21,391","38,570","48,259","21,632","39,267","48,950","22,092","40,133","49,514","22,288","40,426","50,037",
QLD,4215,"23,256","24,171","29,016","25,610","36,059","44,801","26,344","36,127","44,547","27,070","37,505","47,156","28,399","37,440","47,225",
QLD,4216,"18,395","25,521","33,004","20,637","38,968","56,219","21,184","39,629","56,244","21,733","40,449","56,865","22,190","40,693","56,086",
QLD,4217,"22,017","25,762","38,888","25,183","35,401","57,228","26,040","35,817","56,092","26,441","36,894","63,964","27,173","37,000","58,955",
QLD,4218,"19,017","25,849","35,630","20,447","39,412","57,576","20,853","39,854","56,862","21,237","41,261","58,022","21,574","41,905","61,407",
QLD,4219,371,"22,099","25,913",262,"34,010","44,550",243,"33,324","51,367",222,"39,249","52,643",214,"42,283","59,449",
QLD,4220,"17,483","25,409","30,365","18,922","39,465","51,130","19,396","40,514","52,737","19,683","41,786","53,733","20,174","42,171","55,098",
QLD,4221,"15,352","25,055","29,774","15,231","38,374","49,610","15,556","39,812","50,842","15,950","40,705","52,374","16,567","41,349","54,571",
QLD,4223,"8,196","24,588","29,893","8,358","38,645","54,750","8,449","38,826","52,697","8,637","39,990","54,454","8,953","41,352","55,045",
QLD,4224,"3,211","25,621","30,136","3,826","39,082","50,375","3,885","40,520","52,377","3,990","41,975","53,882","4,054","42,735","54,872",
QLD,4225,"3,945","23,091","29,417","4,523","35,409","46,935","4,641","37,096","49,897","4,732","37,553","52,248","4,909","37,424","50,284",
QLD,4226,"17,704","24,823","31,992","19,285","38,330","49,233","19,859","38,991","49,485","20,251","40,336","50,908","20,854","40,965","51,330",
QLD,4227,"4,141","23,666","27,669","11,054","39,021","49,313","11,505","40,352","50,396","12,172","41,711","51,508","12,756","42,344","52,317",
QLD,4228,"5,033","24,723","28,807","3,329","39,130","53,277","3,287","39,764","54,473","3,340","39,839","55,555","3,386","40,828","56,442",
QLD,4230,202,"27,912","33,026",382,"29,981","39,072",341,"28,498","40,377",209,"45,154","62,689",na,na,na,
QLD,4270,"1,891","27,553","30,795","2,168","43,305","52,459","2,223","43,924","51,977","2,339","45,000","53,865","2,434","45,008","53,978",
QLD,4271,"1,390","22,458","27,366","1,283","35,153","45,459","1,090","37,000","47,108",897,"38,381","49,714",794,"39,763","50,173",
QLD,4272,"2,469","22,163","30,704","2,921","33,769","47,517","3,093","35,223","49,059","3,364","35,818","49,118","3,587","36,334","49,423",
QLD,4275,"1,606","26,258","29,560","1,883","39,680","47,787","1,968","38,387","46,719","1,943","40,615","48,783","1,992","41,847","50,161",
QLD,4280,"7,091","28,902","30,923","8,569","44,146","51,394","8,854","44,562","51,542","9,357","45,877","52,954","9,864","46,214","52,520",
QLD,4285,"7,781","25,675","28,183","9,468","40,112","47,003","9,770","40,380","48,633","10,295","41,241","47,955","10,746","41,597","49,094",
QLD,4287,394,"20,381","22,153",375,"30,083","33,411",358,"32,631","39,763",359,"33,924","40,702",383,"34,840","42,176",
QLD,4300,"16,152","28,653","30,091","27,060","46,432","52,661","28,639","46,760","52,784","30,728","47,604","53,375","32,641","47,877","53,866",
QLD,4301,"8,531","29,029","29,691","12,666","42,466","45,978","13,127","43,122","46,146","13,975","43,139","46,079","14,994","42,826","45,697",
QLD,4303,"1,839","23,920","25,152","1,483","40,093","42,535","1,439","40,071","42,647","1,512","39,379","42,049","1,609","39,737","41,438",
QLD,4304,"7,539","26,715","29,111","7,579","41,374","45,498","7,820","41,656","45,706","8,308","43,106","46,805","8,518","43,278","46,925",
QLD,4305,"28,051","28,523","30,790","30,082","43,006","48,279","30,882","43,961","48,952","31,511","44,844","49,728","32,468","44,916","49,720",
QLD,4306,"15,947","30,093","33,240","18,425","45,379","53,923","18,918","46,376","54,574","20,032","47,184","55,310","21,232","48,825","56,406",
QLD,4307,820,"25,289","28,226",863,"36,816","42,764",886,"37,381","44,331",897,"40,823","51,586",904,"41,439","46,915",
QLD,4309,"1,467","21,753","21,387","1,527","36,019","41,600","1,585","35,473","43,495","1,588","36,920","43,474","1,657","37,636","44,190",
QLD,4310,"2,576","23,302","26,758","3,109","35,065","42,226","3,114","35,239","41,173","3,216","35,445","41,821","3,282","35,950","42,924",
QLD,4311,"4,014","23,548","25,692","4,507","38,406","43,972","4,603","38,411","43,963","4,718","40,288","45,806","4,847","40,111","45,072",
QLD,4312,"1,104","20,231","25,078","1,224","34,641","44,999","1,202","34,031","42,365","1,183","36,539","44,364","1,260","35,899","46,273",
QLD,4313,"1,023","17,958","21,343",973,"31,343","38,079",984,"31,087","37,039",983,"32,710","37,748","1,027","35,332","39,417",
QLD,4340,"2,573","25,423","27,335","2,620","37,978","43,328","2,662","38,167","44,178","2,720","38,659","44,284","2,862","39,919","46,077",
QLD,4341,"4,735","24,315","25,909","6,540","39,383","45,463","6,736","40,260","45,818","7,004","40,495","46,205","7,370","41,258","46,905",
QLD,4342,"1,336","23,661","25,706","1,237","37,451","45,032","1,275","36,754","43,307","1,282","37,354","43,007","1,306","37,974","45,206",
QLD,4343,"5,122","23,820","26,109","6,351","32,451","38,713","6,471","32,904","39,016","6,652","32,993","39,674","6,903","32,932","40,758",
QLD,4344,"1,080","22,918","26,937","1,318","38,982","44,696","1,311","38,493","43,939","1,386","39,543","45,357","1,448","41,644","46,595",
QLD,4346,483,"27,930","30,800",473,"43,456","48,553",477,"41,357","49,037",488,"42,970","49,082",537,"46,309","50,802",
QLD,4347,682,"20,797","23,907",661,"37,006","41,970",657,"37,974","43,231",647,"37,915","44,193",662,"38,618","44,265",
QLD,4350,"56,974","26,868","30,806","58,380","42,255","51,958","58,271","42,642","51,977","58,492","42,855","52,115","59,685","43,285","52,627",
QLD,4352,"12,234","26,543","29,928","15,709","43,396","52,288","16,165","43,175","51,885","16,726","43,597","53,115","17,190","45,124","53,807",
QLD,4353,na,na,na,na,na,na,262,"30,450","36,314",261,"28,113","34,071",256,"30,122","37,663",
QLD,4354,529,"23,923","27,554",577,"37,973","44,019",586,"39,416","44,234",595,"39,786","45,633",641,"40,310","45,221",
QLD,4355,"1,262","20,730","23,749","1,289","30,714","38,370","1,256","30,580","36,784","1,279","30,634","36,899","1,282","31,392","39,029",
QLD,4356,"2,602","22,622","25,620","2,809","35,595","42,234","2,850","36,605","43,850","2,873","38,634","46,800","2,912","38,896","45,886",
QLD,4357,"1,351","22,894","24,824","1,446","36,692","41,592","1,491","35,783","41,709","1,493","35,936","45,039","1,487","36,555","44,991",
QLD,4358,"1,013","22,595","23,225","1,143","38,485","44,975","1,193","38,805","46,464","1,239","40,398","48,178","1,345","41,226","47,108",
QLD,4359,559,"21,190","22,156",654,"36,056","40,582",689,"38,201","41,868",728,"38,046","43,274",739,"40,471","44,295",
QLD,4360,353,"20,998","20,869",409,"30,118","35,800",422,"32,586","37,836",432,"34,675","39,837",439,"34,020","40,636",
QLD,4361,"1,222","18,660","21,102","1,350","29,344","37,266","1,348","28,843","36,866","1,394","32,073","40,035","1,427","33,036","40,181",
QLD,4362,"1,175","20,244","21,500","1,299","33,586","39,390","1,305","32,543","38,410","1,330","31,703","38,762","1,337","31,579","38,364",
QLD,4363,270,"20,475","21,677",411,"37,520","45,584",426,"38,349","46,572",430,"36,718","47,172",447,"38,603","45,458",
QLD,4364,na,na,na,na,na,na,204,"46,605","55,808",215,"47,292","68,908",na,na,na,
QLD,4365,na,na,na,na,na,na,200,"29,121","34,362",201,"29,381","34,731",236,"29,952","34,309",
QLD,4370,"9,111","22,890","25,210","9,593","35,070","39,633","9,562","35,799","40,551","9,572","36,771","42,069","9,686","37,194","43,200",
QLD,4371,372,"19,037","21,443",418,"30,042","34,927",442,"30,006","35,033",428,"31,570","37,036",464,"28,518","35,875",
QLD,4373,685,"22,677","23,557",563,"30,440","35,199",567,"31,365","36,317",573,"32,768","39,944",545,"32,455","36,920",
QLD,4374,na,na,na,na,na,na,214,"31,993","37,110",230,"31,292","37,215",248,"32,041","34,470",
QLD,4377,332,"19,020","20,532",343,"26,307","30,892",351,"28,249","32,023",361,"28,031","32,787",363,"29,301","35,124",
QLD,4378,na,na,na,na,na,na,na,na,na,na,na,na,216,"31,308","36,230",
QLD,4380,"4,057","20,827","22,717","4,622","29,695","35,573","4,561","29,872","35,821","4,615","31,019","37,214","4,630","30,463","37,520",
QLD,4381,258,"16,258","19,300",270,"29,334","33,726",283,"30,752","35,252",306,"27,922","34,785",299,"31,809","38,787",
QLD,4382,308,"17,346","20,377",319,"30,081","36,944",334,"28,946","34,725",338,"31,266","36,737",327,"30,871","37,919",
QLD,4383,287,"20,949","23,361",427,"28,550","31,829",411,"29,506","31,849",294,"30,226","32,881",283,"30,829","31,890",
QLD,4385,610,"18,717","14,571",639,"30,571","36,972",617,"32,974","36,637",623,"30,521","36,498",607,"32,354","36,278",
QLD,4387,729,"21,783","21,921",729,"32,285","35,241",691,"32,078","36,809",697,"31,919","37,654",659,"33,607","39,828",
QLD,4388,225,"17,733","15,293",220,"26,598","27,219",213,"25,462","31,032",207,"25,634","31,266",218,"28,828","52,431",
QLD,4390,"4,305","26,137","25,474","4,390","38,104","45,574","4,286","39,488","46,174","4,371","41,160","51,152","4,404","42,890","50,270",
QLD,4400,875,"28,172","27,065","1,000","43,556","48,818","1,025","42,272","51,914","1,054","43,047","47,834","1,087","43,199","47,954",
QLD,4401,"3,059","26,174","26,714","3,047","41,036","44,214","3,012","41,891","44,602","3,024","43,178","45,227","3,066","42,778","45,322",
QLD,4403,413,"21,593","23,520",437,"34,692","40,235",442,"36,400","42,607",443,"38,109","44,163",433,"39,730","45,622",
QLD,4404,357,"24,286","26,390",310,"39,706","44,212",320,"38,120","43,535",324,"40,130","52,008",312,"34,259","47,056",
QLD,4405,"7,342","25,517","27,451","8,287","43,527","52,329","8,004","42,779","50,930","7,925","43,346","50,372","8,099","43,075","51,314",
QLD,4406,528,"18,180","18,957",613,"28,858","37,467",609,"28,358","39,205",581,"30,374","40,577",600,"31,692","39,810",
QLD,4407,408,"21,530","20,102",362,"32,223","38,539",334,"30,402","41,529",339,"37,716","45,948",340,"36,943","46,469",
QLD,4408,425,"20,151","17,816",384,"27,226","30,476",405,"28,227","32,195",405,"30,866","37,148",416,"31,768","37,371",
QLD,4410,805,"19,772","21,453",777,"31,353","37,579",718,"30,810","36,651",714,"33,535","42,814",681,"34,513","42,484",
QLD,4413,"2,973","20,978","24,008","4,312","45,695","58,500","4,217","44,098","55,066","4,117","42,084","53,805","4,137","41,682","53,258",
QLD,4415,"1,049","22,088","23,912","1,125","41,607","52,298","1,039","37,912","46,150","1,029","39,660","46,168","1,067","40,432","47,022",
QLD,4416,310,"22,255","19,600",322,"32,535","31,499",317,"37,093","39,919",298,"41,432","40,860",289,"39,675","45,116",
QLD,4417,396,"22,955","19,600",398,"35,050","36,412",363,"39,165","41,893",341,"40,689","54,224",331,"43,675","57,664",
QLD,4419,689,"19,996","19,122",561,"31,549","30,467",540,"33,210","34,541",511,"34,290","41,062",509,"38,191","43,413",
QLD,4420,852,"23,523","20,437",780,"32,873","32,631",783,"34,618","39,406",803,"37,754","46,229",771,"39,422","49,016",
QLD,4421,"1,032","20,203","22,581","1,059","35,696","40,180",996,"35,368","41,959",975,"35,434","41,736",964,"35,082","42,102",
QLD,4422,348,"18,096","15,473",273,"27,151","28,588",289,"30,741","36,412",284,"32,016","48,296",288,"36,545","44,630",
QLD,4427,223,"16,616","19,448",204,"29,326","32,686",na,na,na,na,na,na,na,na,na,
QLD,4428,351,"20,106","14,869",436,"31,894","34,101",440,"29,471","37,172",405,"33,125","42,159",403,"36,781","40,130",
QLD,4454,560,"22,717","20,253",522,"30,576","31,144",497,"31,688","37,549",481,"34,017","41,355",482,"36,560","45,263",
QLD,4455,"5,097","26,631","28,272","5,506","46,312","51,718","5,312","46,640","52,971","5,045","45,688","52,963","5,005","47,539","54,410",
QLD,4465,811,"19,882","18,258",814,"30,728","29,922",775,"31,218","35,424",794,"31,409","39,991",759,"34,385","44,908",
QLD,4468,229,"14,270","8,669",210,"25,094","24,581",208,"25,413","29,419",211,"24,727","35,100",214,"27,817","40,302",
QLD,4470,"2,118","26,602","25,176","2,086","40,864","43,908","2,053","40,731","43,804","1,948","42,321","46,677","1,980","44,292","48,919",
QLD,4472,914,"22,514","16,702",873,"36,312","39,200",793,"37,215","41,463",780,"37,273","40,829",796,"36,263","40,191",
QLD,4477,339,"20,737","13,343",292,"26,693","27,834",298,"28,988","32,465",315,"34,502","48,278",293,"42,554","50,343",
QLD,4478,302,"24,314","12,458",299,"33,226","33,049",294,"34,947","37,130",274,"36,634","49,539",288,"38,471","50,273",
QLD,4480,561,"22,246","24,284",499,"37,979","38,727",510,"39,795","45,210",490,"39,204","43,797",478,"42,015","46,027",
QLD,4486,471,"18,176","-34,431",437,"35,694","38,284",412,"34,162","34,860",405,"34,926","36,075",398,"39,505","48,062",
QLD,4487,"2,127","23,925","18,807","1,953","38,376","43,869","1,885","38,574","44,823","1,882","39,759","46,848","1,887","41,697","47,884",
QLD,4490,927,"19,583","17,809",720,"35,698","38,275",711,"34,721","37,165",689,"36,843","39,676",670,"38,676","42,376",
QLD,4496,na,na,na,na,na,na,na,na,na,na,na,na,201,"41,753","47,507",
QLD,4497,na,na,na,na,na,na,201,"26,028","31,695",na,na,na,215,"39,212","49,584",
QLD,4500,"18,532","29,514","32,240","23,590","44,872","52,753","24,096","46,221","53,686","24,869","46,606","54,687","25,565","47,481","55,408",
QLD,4501,"3,192","27,483","29,170","3,004","41,785","46,488","3,023","42,475","47,403","3,032","43,291","47,964","3,140","44,451","47,956",
