id,name,latitude,longitude,morning_peak,afternoon_peak
10233,Narrabri Station,-30.325321999999996,149.79202,No peak,No peak
10234,Narrandera Station,-34.740516,146.556999,No peak,No peak
10235,Narwee Station,-33.94751814,151.0697482,7-9am,4-6.30pm
10236,Newcastle Interchange,-32.924308,151.75965,6-7.15am,4-6.30pm
10237,Newtown Station,-33.89788301,151.1799247,7-9am,4-6.30pm
10238,Niagara Park Station,-33.38333131,151.3542821,6-8am,4-6.30pm
10239,Normanhurst Station,-33.72075274,151.0972405,7-9am,4-6.30pm
10240,North Ryde Station,-33.7944217,151.1379398,7-9am,4-6.30pm
10241,North Strathfield Station,-33.85868801,151.0879861,7-9am,4-6.30pm
10242,North Sydney Station,-33.84120853,151.2074102,7-9am,4-6.30pm
10243,North Wollongong Station,-34.41259326,150.89134919999998,6-8am,4-6.30pm
10244,Oak Flats Station,-34.57223075,150.8209079,6-8am,4-6.30pm
10245,Oatley Station,-33.98084516,151.07896509999998,7-9am,4-6.30pm
10246,Olympic Park Station,-33.84652013,151.0695472,7-9am,4-6.30pm
10247,Orange Station,-33.286992,149.103703,No peak,No peak
10248,Otford Station,-34.21020004,151.00600390000002,6-8am,4-6.30pm
10249,Ourimbah Station,-33.35960353,151.3699892,6-8am,4-6.30pm
10250,Padstow Station,-33.95189202,151.03255719999999,7-9am,4-6.30pm
10251,Panania Station,-33.95431112,150.9978261,7-9am,4-6.30pm
10252,Parkes Station,-33.142132000000004,148.17318500000002,No peak,No peak
10253,Parramatta Station,-33.81757926,151.0055351,7-9am,4-6.30pm
10254,Paterson Station,-32.60240094,151.6146372,No peak,4-6.30pm
10255,Pendle Hill Station,-33.801347899999996,150.9563427,7-9am,4-6.30pm
10256,Pennant Hills Station,-33.73793863,151.0725297,7-9am,4-6.30pm
10257,Penrith Station,-33.75005529,150.6961348,7-9am,4-6.30pm
10258,Penrose Station,-34.67255107,150.21175549999998,6-8am,4-6.30pm
10259,Penshurst Station,-33.96612954,151.0893865,7-9am,4-6.30pm
10260,Petersham Station,-33.8938594,151.1551562,7-9am,4-6.30pm
10261,Picton Station,-34.17914657,150.61260159999998,6-8am,4-6.30pm
10262,Point Clare Station,-33.44577008,151.328556,6-8am,4-6.30pm
10263,Port Kembla North Station,-34.47276667,150.8880483,6-8am,4-6.30pm
10264,Port Kembla Station,-34.47724493,150.90192230000002,6-8am,4-6.30pm
10265,Punchbowl Station,-33.92537752,151.055867,7-9am,4-6.30pm
10266,Pymble Station,-33.74472888,151.142138,7-9am,4-6.30pm
10267,Quakers Hill Station,-33.72802483,150.886725,7-9am,4-6.30pm
10268,Queanbeyan Station,-35.342890000000004,149.227651,No peak,No peak
10269,Quirindi Station,-31.505399,150.681098,No peak,No peak
10270,Railway Square Bus Interchange,-33.88362346,151.2034191,No peak,No peak
10271,Redfern Station,-33.8923699,151.1984847,7-9am,4-6.30pm
10272,Regents Park Station,-33.88298889,151.0241875,7-9am,4-6.30pm
10273,Revesby Station,-33.95246003,151.0148384,7-9am,4-6.30pm
10274,Rhodes Station,-33.83053036,151.0870323,7-9am,4-6.30pm
10275,Richmond Station,-33.59911164,150.75321100000002,7-9am,4-6.30pm
10276,Riverstone Station,-33.67904337,150.8602679,7-9am,4-6.30pm
10277,Riverwood Station,-33.95153541,151.0520353,7-9am,4-6.30pm
10278,Rockdale Station,-33.95188027,151.1368616,7-9am,4-6.30pm
10279,Rooty Hill Station,-33.77151173,150.8450187,7-9am,4-6.30pm
10280,Rosehill Station,-33.82334612,151.0220689,7-9am,4-6.30pm
10281,Roseville Station,-33.78422026,151.177266,7-9am,4-6.30pm
10282,Rydal Station,-33.483565000000006,150.031812,No peak,No peak
10283,Rydalmere Station,-33.81007301,151.0290977,7-9am,4-6.30pm
10284,Sandgate Station,-32.87189652,151.70260469999997,6-7am,4-6.30pm
10285,Sawtell Station,-30.359429,153.097419,No peak,No peak
10286,Scarborough Station,-34.26498655,150.9657909,6-8am,4-6.30pm
10287,Schofields Station,-33.70447724,150.8738169,7-9am,4-6.30pm
10288,Scone Station,-32.04694089,150.8669023,No peak,4-6.30pm
10289,Sefton Station,-33.88523616,151.0112833,7-9am,4-6.30pm
